Subject,Title,Price,Rating,ReviewCount,URL,Sold By
keyboard,"HP K160 Wireless Keyboard/Quick Comfy accurate/12 Fn Shortcut Keys/Plug and Play USB/ 3 Years Warranty, Black",₹649,4.3,82,https://www.amazon.in/HP-Wireless-Keyboard-accurate-Shortcut/dp/B0827J6TFC/ref=sr_1_7?keywords=keyboard&qid=1696920078&sr=8-7,Appario Retail Private Ltd
keyboard,"Amazon Basics Wired Keyboard with 104 Keys for Windows, Mac OS Computer",₹299,4.3,73,https://www.amazon.in/Amazon-Basics-Keyboard-Windows-Computer/dp/B0BWF9Q364/ref=sr_1_9?keywords=keyboard&qid=1696920078&sr=8-9,Appario Retail Private Ltd
keyboard,"Logitech MK240 Nano Wireless USB Keyboard and Mouse Set, 12 Function Keys 2.4GHz Wireless, 1000DPI, Spill-Resistant Design, PC/Mac, Black/Chartreuse Yellow","₹1,494",4.3,"8,876",https://www.amazon.in/Logitech-MK240-NANO-Mouse-Keyboard/dp/B01N4EV2TL/ref=sr_1_10?keywords=keyboard&qid=1696920078&sr=8-10,Appario Retail Private Ltd
keyboard,"HP K500F Backlit Membrane Wired Gaming Keyboard with Mixed Color Lighting, Metal Panel with Logo Lighting, 26 Anti-Ghosting Keys, and Windows Lock Key / 3 Years Warranty(7ZZ97AA)",₹899,4.2,"5,745",https://www.amazon.in/HP-K500F-Gaming-Keyboard-7ZZ97AA/dp/B08498D67S/ref=sr_1_11?keywords=keyboard&qid=1696920078&sr=8-11,Appario Retail Private Ltd
keyboard,Ant Esports MK1500 Retro Style Mini 60% Pro RGB  Wireless Gaming Keyboard with Membrane Switches for PC/Mobile/Tablets/Laptop/TV's- White.,₹999,3.5,261,https://www.amazon.in/Ant-Esports-Wireless-Keyboard-Membrane/dp/B0CCD2GNZ8/ref=sr_1_12?keywords=keyboard&qid=1696920078&sr=8-12,Appario Retail Private Ltd
keyboard,"Redgear Shadow Blade Mechanical Keyboard with Drive Customization, Spectrum LED Lights, Media Control Knob and Wrist Support (Black)","₹2,299",4.3,"6,135",https://www.amazon.in/Redgear-Mechanical-Keyboard-Spectrum-Control/dp/B08T28HSDN/ref=sr_1_13?keywords=keyboard&qid=1696920078&sr=8-13,Appario Retail Private Ltd
keyboard,"Dell USB Wireless Keyboard and Mouse Set- KM3322W, Anti-Fade & Spill-Resistant Keys, up to 36 Month Battery Life, 3Y Advance Exchange Warranty, Black","₹1,249",4.0,"7,240",https://www.amazon.in/Dell-Wireless-Keyboard-Mouse-Spill-Resistant/dp/B09T3H12GV/ref=sr_1_14?keywords=keyboard&qid=1696920078&sr=8-14,Appario Retail Private Ltd
keyboard,"Ant Esports MK1400 Pro Backlit Membrane Wired Gaming Keyboard with Mixed Colour Lighting, White & Black Keycaps, Double Injection Key Caps - Black",₹488,4.0,238,https://www.amazon.in/Ant-Esports-Membrane-Keyboard-Injection/dp/B0BY2YM76S/ref=sr_1_15?keywords=keyboard&qid=1696920078&sr=8-15,Appario Retail Private Ltd
keyboard,Zebronics Wired Keyboard and Mouse Combo with 104 Keys and a USB Mouse with 1200 DPI - JUDWAA 750,₹379,3.8,"19,669",https://www.amazon.in/Zebronics-Zeb-JUDWAA-750-Wired-Keyboard/dp/B07KR5P3YD/ref=sr_1_16?keywords=keyboard&qid=1696920078&sr=8-16,Appario Retail Private Ltd
keyboard,"Logitech K480 Wireless Multi-Device Keyboard For Windows, Macos, Ipados, Android Or Chrome Os, Bluetooth, Compact, Compatible With Pc, Mac, Laptop, Smartphone, Tablet - Black","₹1,999",4.3,"24,628",https://www.amazon.in/Logitech-Multi-Device-Bluetooth-Keyboard-Black/dp/B00MUTWLW4/ref=sr_1_17?keywords=keyboard&qid=1696920087&sr=8-17,Appario Retail Private Ltd
keyboard,"ZEBRONICS Zeb-DLK01 Wired USB Multimedia Keyboard with 104 UV Coated Keys, Rupee Key, 12 Hot Keys(White)",₹399,4.0,"1,181",https://www.amazon.in/Zebronics-DLK01-Multimedia-Keyboard-White/dp/B07RT67LV1/ref=sr_1_18?keywords=keyboard&qid=1696920087&sr=8-18,Appario Retail Private Ltd
keyboard,"ZEBRONICS Newly launched Transformer K1 Premium Gaming Keyboard with 104 Keys, 1.7m Cable, Laser Keycaps, Multi Color LED Modes, Integrated Multimedia Keys, All Keys Enable/Disable Function",₹599,4.2,"2,003",https://www.amazon.in/ZEBRONICS-Transformer-K1-Integrated-Multimedia/dp/B0CGZKPM9F/ref=sr_1_19?keywords=keyboard&qid=1696920087&sr=8-19,Appario Retail Private Ltd
keyboard,RPM Euro Games Gaming Keyboard Wired | 87 Keys Space Saving Design | Membrane Keyboard with Mechanical Feel | LED Backlit & Spill Proof Design,₹579,3.8,191,https://www.amazon.in/RPM-Euro-Games-Keyboard-Mechanical/dp/B0BYP1X93M/ref=sr_1_20?keywords=keyboard&qid=1696920087&sr=8-20,Appario Retail Private Ltd
keyboard,"HP 150 Wired Keyboard and Mouse Combo with Instant USB Plug-and-Play Setup, 12 Shortcut Keys, 6° Adjustable Slope Keyboard and 1600 DPI Optical Sensor Mouse (3-Years Warranty, 240J7AA)",₹679,4.1,"1,258",https://www.amazon.in/HP-150-Wired-Keyboard-Mouse/dp/B097TC1F6J/ref=sr_1_21?keywords=keyboard&qid=1696920087&sr=8-21,Appario Retail Private Ltd
